recipient,amount,signature
CyEaSmu1sAKFqTPvKqVf4ssXV2Mb5i4aKfwCJ45Rdw79,1.000000,3yvVtnZtf8FQnTgYZ72UprzQ5DybQZwTU5nC8j8wWsrPQtSsp7Mjmw6maozhaJFZquNGVya32nEkgJL3wh6sBi7Q
4voKKCVLJyjsq9hXFcAcdVgzCz3zzPX8axQMAF5ra5mP,1.000000,4GEhH5u8wjiaSTJgMuLeLKTZbQVzjagPsyQeWSSXDXtu2GEgwqYoAf7oWGawyQcYvGDsU95QeaosmsmQhnsixvNk
2D2JLaWPFXpZmPvVPnMi9ck4qywUGPnt7JwDfnh5sVux,1.000000,5baThVBDRq288M2ZiXggbMKkFHCW3icJQUdNLzaq3HoREXQWrvAdWHZZ2jWh3PgyYS9aqhFJW1XxVgE6yp7mPmcs
GUK8Cb5d7jupiBjUReLxZZsPp8h415oaTUX26M4tzEAm,1.000000,4jmZ7JmH9wbQ2AYhzSVhgEQtQRR29wmixMxDvYam3gXTNa6pKnJhwgDaRjHeKAJEjdhDF11V6DfMsopTVNSkif43
4HBds4dpGcsdsWtyYwPvFpCYGcvCyGc929ZWHsRvkmoB,1.000000,3FkMFmPZMyxkds83zk4t2tVb2dk7JoNLLymtQMuhZk4q6r16yUTv6dtrcy44zneQVbQ4qq8AbQoZGqgT2ePkMtGk
Hrdpnpu4HAg8vesFXLHD3aAkW2tBeegBFHjsidTJq2op,1.000000,618MRyxurVnE82yQziMN62ZY294wy7brArxBWvpEZcb74iMcEBM3DFpo1hZob8BQMUo82VKTHHRgvsihwWhrkzcJ
H5Vv5i6afAcCscz6bYdWiYBSFN3gZGVtpy2LcDAjCHcc,1.000000,iJQ54DxPRYirAzd8udPAqpRL1keYZRN7amyJ7sPUBMTR9mcqGQ4HN7U4hcDWEDFhk7WsR59CsPpmWepcup1SF2E
CrhsvbK6fyH4M1TYd3SmPf3Tmt7WSLFti6h5kX9fJJjr,1.000000,4SEUEwV5ettdxSHjQTRwiTiLgneBCvu5VCmqdmAMrLZptMitEVkFQDBCniLDmt9W1Uujd9MiyZDf3BZfwzKwCk7A
3cxntiYaA4iZt8zx9BEvd9oUjwZ22jN4HspwLd6dSL1Y,1.000000,63P6mMDsEn8UuHBYSRYtjCDz5nUu4qjohAw37KzjDjsxRTPFvtdwbWjU9RoN6UrgBXayGhvEaDMHuqjW1jMSXMNs
DxwpmixsNp1jCXtc1vYLuss7qUX2WRpyYsiN1VZiqERg,1.000000,4RPtN28XFSAGfp1E1N6MHz6E9fKzdqC3cnECxK1SV3TzAmE2DqpKwDBeQrFC3j88nfNA6CdBjYMzzKi45JwsV3Ar
